id,Label,type,date
1,La Bayadere,ballet,1877
2,Marius Petipa,choreographer,1818-1910
3,Ekaterina Vazem,dancer,1848-1937
4,Marie Taglioni,dancer,1804-1884
5,Lucien Petipa,choreographer,1815-1898
6,Sergei Khudekov,librettist,1837-1928
7,Théophile Gautier,librettist,1811-1872
8,Ammani,dancer,1820-?
9,Mamia,dancer,?-1786
10,Jacob Haafner,travel writer,1754-1809
11,Filippo Taglioni,choreographer,1777-1871
12,L'Ombre,ballet,1839
13,Giselle,ballet,1841
14,Mlada,ballet,1870
15,La Vestale,ballet,1888
16,Indian Customs,ballet,1807
17,Sakountala,ballet,1858
18,Talisman,ballet,1889
19,Le Dieu et La Bayadere,ballet,1830
20,Étienne de Jouy,librettist,1764-1806
21,Travels in a Palanquin,book,1808
