id,Label,type
1,La Bayadere,dance
2,Angel Corella,choreographer
3,Shobhana Jeyasingh,choreographer
4,Bayadere - the Ninth Life,dance
5,Madhusmita Bora,dancer
6,Phil Chan,dancer
7,Philadelphia Inquirer,publication
8,Bora petition,Internet
9,Pointe Magazine,publication
10,Dance Magazine,publication
11,Ulyana Lopatkina,dancer
12,Dana Nichols,dancer
13,Pallabi Chakravorty,dancer
14,Pennsylvania Ballet,company
15,Royal Ballet,company
16,Olga Evreinoff,dancer
17,Molly Engelhardt,scholar
